word,x_coord,y_coord,word_count,rank
ikaika,37.843693,-0.7650166,3003,153
hai,7.4229574000000005,-12.031992,2900,154
eha,-12.640267,6.120791400000001,2876,155
hui,19.220679999999998,48.521156,2838,156
hoakaka,11.726056,52.777508,2824,157
halawai,-36.648888,18.652714000000003,2798,158
lehulehu,-32.6765,35.328266,2735,159
malaila,31.350393,-15.574095999999999,2734,160
wai,6.99697,-62.990314,2706,161
lohe,5.9750414,-15.602532,2702,162
noonoo,14.811036999999999,50.32336,2689,163
koho,-2.3804397999999996,61.862643999999996,2625,164
moi,-12.583198,-4.9915895,2618,165
hoa,-3.7509935,-19.324278,2600,166
ekolu,-47.46332,27.121840999999996,2585,167
lima,20.247486,-50.841053,2568,168
nona,16.402723,3.1208847,2544,169
maopopo,31.241235999999997,-0.69764006,2514,170
apau,6.7710729999999995,31.829418,2490,171
aohe,30.300001,-7.9098797,2480,172
maoli,38.404755,-3.276907,2469,173
kulana,-9.496065,58.965103000000006,2463,174
apana,-26.100883,54.98896,2399,175
haalele,9.384794,3.9768220000000003,2375,176
kai,-16.911848000000003,-55.082874,2351,177
kaikamahine,-6.497975299999999,-16.328556,2316,178
kupono,38.99143,13.272697,2311,179
ino,23.918789999999998,-14.868867999999999,2309,180
hoomaka,-17.884998,4.0871925000000005,2268,181
pilikia,31.897036,3.8614434999999996,2252,182
kane,-5.664212,-16.88712,2248,183
kauoha,14.646773999999999,42.955090000000006,2230,184
okoa,-5.26009,17.506432,2226,185
moho,-10.467992,64.93269000000001,2216,186
kulanakauhale,-23.393632999999998,2.2500465,2193,187
puka,11.82878,-41.294796000000005,2155,188
hae_hawaii,-38.254887,42.559059999999995,2154,189
ninau,7.5217633,-12.209528,2087,190
makua,-3.9197974,-17.149535999999998,2085,191
poo,15.73998,-55.416230000000006,2058,192
lele,-16.514894,-41.57843,2041,193
poino,-10.005776,9.189013000000001,2024,194
iluna,-5.6139774000000005,-43.28436,2008,195
laau,27.078142,-49.253876,2006,196
maka,3.338764,-53.550906999999995,1979,197
keena,-11.951907,49.01477,1977,198
penei,-29.339671999999997,38.336659999999995,1976,199
poakolu,-40.27339,22.082603,1975,200
kahiko,37.973057,5.933029,1936,201
kii,30.305061,-21.422161,1901,202
pane,7.0949326,-14.065142000000002,1878,203
pomaikai,25.169983,9.998087,1874,204
hoopii,4.5447755,51.725246000000006,1842,205
anei,32.640068,-3.4833415,1836,206
oiaio,28.621683,0.057202935,1811,207
imi,28.867138,9.615839,1804,208
lio,43.959656,-33.778059999999996,1797,209
ikeia,-9.213235000000001,6.4920480000000005,1790,210
kiekie,-16.524338,24.730776000000002,1786,211
piha,2.8991592,14.472732999999998,1782,212
kakahiaka,-41.89383,17.934479999999997,1780,213
ala,-9.654027000000001,-42.375214,1766,214
ahaolelo,-0.5355244,61.184975,1764,215
kokoke,-44.47097,-17.894941,1760,216
koe,35.577858,3.3624977999999994,1755,217
haole,30.266866999999998,20.205994,1741,218
pai,-32.678946999999994,42.144093,1736,219
auhau,-7.110895599999999,43.618595,1733,220
iki,31.058224,-7.761543799999999,1732,221
poaono,-40.5979,21.225925,1729,222
mahina,-42.504894,28.73103,1713,223
leo,1.9591287,-28.306804999999997,1684,224
hoʻolaupaʻi,-42.006159999999994,51.913920000000005,1656,225
ʻohina_nūpepa_ʻōlelo_hawaiʻi,-42.0427,51.782097,1656,226
haule,-23.803488,-36.423893,1646,227
uuku,42.178318,-14.944434,1637,228
ahi,25.018156,-33.238644,1636,229
hopuia,-3.3029895,24.286453,1633,230
pa,27.615741999999997,-49.239005999999996,1610,231
hihia,4.287386,45.571545,1598,232
nani,6.8152623,-33.011435999999996,1585,233
ea,-51.559566,-0.048928726,1574,234
io,35.871097999999996,-5.1905766,1569,235
oluolu,31.908603999999997,-5.6539,1560,236
mokupuni,32.554806,47.235459999999996,1533,237
heluhelu,13.316467000000001,53.889656,1506,238
ahiki,-19.016077,18.396010999999998,1504,239
nupepa,-28.264107,43.995777000000004,1480,240
loihi,-10.778166,3.2433674,1474,241
makaukau,29.158571000000002,12.203036,1444,242
mana,21.02198,-0.71313494,1436,243
lanakila,5.4490333,0.22508593,1435,244
hoole,16.246046,44.550990000000006,1416,245
hanaia,34.711018,23.610757999999997,1415,246
elike,-21.543851999999998,39.13133,1412,247
hae,-31.881107,35.94647,1410,248
lahui,23.258785,8.099775,1405,249
haku,18.57465,-1.367057,1396,250
moe,-1.8397111000000002,-41.23949,1385,251
pae,-39.283413,-24.886007,1365,252
e.,24.837976,55.48004,1364,253
poaha,-40.21394,22.10955,1363,254
naauao,27.679091999999997,11.345335,1353,255
hooikaika,28.870953000000004,9.596694,1350,256
pii,-6.9264636,-41.31075,1346,257
kepani,-2.0759275,27.41302,1316,258
hoihoi,-11.856512,17.372812,1312,259
hua,34.142014,-41.696827,1311,260
honua,12.733797000000001,-33.415886,1292,261
hoopau,-0.38713035,54.747493999999996,1289,262
olelo_hoolaha,-32.95834,41.552963,1289,263
holoholona,41.36056,-32.82311,1288,264
maui,32.147957,50.82249,1286,265
mokulele,-32.089405,-6.3938622,1284,266
home,-22.381847,16.089357,1280,267
liilii,25.635834,-56.987680000000005,1279,268
emi,-31.847148999999998,41.087914000000005,1275,269
opio,-5.443425,-15.117982999999999,1269,270
mawaho,-22.161522,21.518926999999998,1256,271
olelo_hooholo,5.6963862999999995,59.288959999999996,1256,272
ku-e,6.5226846,45.287884000000005,1254,273
hoouna,-32.03334,49.02095,1254,274
uhane,3.0222692,-36.117218,1253,275
ohana,24.376801999999998,10.1231985,1251,276
kamailio,3.726211,-13.236076,1244,277
hooholoia,7.964564,61.037125,1238,278
kohoia,-2.5435119999999998,62.203842,1225,279
pauku,11.123362,58.719530000000006,1225,280
ilaila,31.074066,-15.350535,1216,281
laweia,-12.880827,17.538395,1214,282
malu,11.851614999999999,9.926761,1213,283
hoo-,-15.197011999999999,29.804726000000002,1201,284
hilo,31.817533,52.790504000000006,1199,285
poakahi,-41.34433,21.419882,1197,286
pololei,-8.791614,30.023297999999997,1193,287
kaumaha,9.344345,-21.66998,1189,288
pio,1.9296341000000001,7.113319000000001,1182,289
waihoia,3.1001343999999995,57.18135,1180,290
hooili,-27.899763,40.871624,1180,291
kauai,31.630371000000004,51.033546,1177,292
halema,-11.95122,12.986500999999999,1164,293
ahahui,-15.844495000000002,56.297955,1162,294
moana,-16.873724,-54.600044,1158,295
a.,24.080278,55.533474,1157,296
moolelo,-22.911379999999998,44.365852000000004,1144,297
maanei,32.375683,10.264816999999999,1141,298
kue,17.247454,45.221756,1133,299
lole,37.255604,-57.877155,1106,300
kōkua,-42.24373,50.889946,1104,301
heaha,12.997152999999999,-12.29841,1102,302
hooholo,7.4381223,61.64536700000001,1097,303
makau,22.136442000000002,-14.65255,1095,304
auanei,15.308297,-13.865245999999999,1093,305
huina,-10.540766,40.581284000000004,1091,306
oahu,31.979452000000002,50.868320000000004,1090,307
pepehi,6.631811,12.03761,1086,308
hoolohe,17.452988,40.361979999999996,1084,309
maua,8.835711,-16.669876000000002,1080,310
loio,2.9293332000000003,50.356533,1077,311
ilalo,-5.356358999999999,-43.297146000000005,1076,312
hoololi,10.234778,59.655502,1076,313
hooko,14.3058,40.806694,1071,314
